alumno,course_code,cycle,grade
ALUMNO_002,EE410,4,12.7
ALUMNO_002,BMA22,5,11.9
ALUMNO_002,CBS05,5,15.7
ALUMNO_002,EE428,5,12.5
ALUMNO_002,EE522,5,13.7
ALUMNO_002,TLN01,5,10.5
ALUMNO_002,TLR01,5,12.6
ALUMNO_002,CI106,6,14.2
ALUMNO_002,EE430,6,11.9
ALUMNO_002,EE458,6,10.7
ALUMNO_002,EE604,6,11.3
ALUMNO_002,TLN02,6,14.3
ALUMNO_002,BEG06,7,14.0
ALUMNO_002,EE498,7,14.1
ALUMNO_002,EE530,7,13.2
ALUMNO_002,EE588,7,15.0
ALUMNO_002,IT213,7,12.6
ALUMNO_002,TLR02,7,10.9
ALUMNO_002,BMA20,8,12.4
ALUMNO_002,EE590,8,10.5
ALUMNO_002,EE592,8,14.1
ALUMNO_002,IT214,8,13.3
ALUMNO_002,IT225,8,14.3
ALUMNO_002,TLR03,8,12.7
ALUMNO_002,CBS36,9,14.0
ALUMNO_002,CIB45,9,13.2
ALUMNO_002,IP101,9,15.2
ALUMNO_002,TLN05,9,11.2
ALUMNO_002,TLR04,9,10.5
ALUMNO_002,TLR05,9,13.0
ALUMNO_002,CIB02,10,13.1
ALUMNO_002,CIB46,10,14.3
ALUMNO_002,EE508,10,14.0
ALUMNO_002,EE524,10,13.3
ALUMNO_002,EE712,10,16.9
ALUMNO_002,IT235,10,10.5
ALUMNO_003,BFI01,1,11.8
ALUMNO_003,BIC01,1,16.8
ALUMNO_003,BMA01,1,10.7
ALUMNO_003,BMA03,1,11.7
ALUMNO_003,BRN01,1,14.1
ALUMNO_003,BFI05,2,8.8
ALUMNO_003,BMA02,2,13.4
ALUMNO_003,BMA09,2,12.6
ALUMNO_003,BQU01,2,13.3
ALUMNO_003,BRC01,2,12.6
ALUMNO_003,BEF01,3,11.2
ALUMNO_003,BEG01,3,14.8
ALUMNO_003,BFI03,3,15.6
ALUMNO_003,BFI05,3,15.4
ALUMNO_003,BMA05,3,10.5
ALUMNO_003,BMA10,3,10.5
ALUMNO_003,BMA15,3,10.8
ALUMNO_003,BMA07,4,10.5
ALUMNO_003,BMA18,4,10.5
ALUMNO_003,EE320,4,11.8
ALUMNO_003,EE410,4,10.5
ALUMNO_003,BMA22,5,12.6
ALUMNO_003,CBS05,5,13.5
ALUMNO_003,EE428,5,10.6
ALUMNO_003,EE522,5,11.5
ALUMNO_003,TLN01,5,14.9
ALUMNO_003,TLR01,5,10.5
ALUMNO_003,EE430,6,10.5
ALUMNO_003,EE458,6,12.1
ALUMNO_003,EE604,6,14.3
ALUMNO_003,IP101,6,14.5
ALUMNO_003,TLN02,6,10.5
ALUMNO_003,BEG06,7,14.7
ALUMNO_003,EE498,7,13.8
ALUMNO_003,EE524,7,12.8
ALUMNO_003,EE530,7,10.5
ALUMNO_003,EE588,7,10.5
ALUMNO_003,TLR02,7,12.7
ALUMNO_003,CIB02,8,11.0
ALUMNO_003,EE508,8,13.2
ALUMNO_003,EE590,8,13.4
ALUMNO_003,EE592,8,11.3
ALUMNO_003,TLN05,8,12.7
ALUMNO_003,TLR03,8,13.2
ALUMNO_003,CI106,9,14.8
ALUMNO_003,CIB45,9,14.1
ALUMNO_003,IT213,9,11.1
ALUMNO_003,TLN04,9,13.5
ALUMNO_003,TLR04,9,16.6
ALUMNO_003,TLR05,9,10.5
ALUMNO_003,BMT01,10,14.8
ALUMNO_003,CI105,10,15.1
ALUMNO_003,CIB46,10,11.6
ALUMNO_003,EE712,10,14.5
ALUMNO_003,IT214,10,13.8
ALUMNO_003,IT225,10,16.8
ALUMNO_004,BFI01,1,11.2
ALUMNO_004,BIC01,1,10.4
ALUMNO_004,BMA01,1,10.5
ALUMNO_004,BMA03,1,10.5
ALUMNO_004,BRN01,1,14.1
ALUMNO_004,BFI05,2,12.3
ALUMNO_004,BIC01,2,15.1
ALUMNO_004,BMA02,2,12.8
ALUMNO_004,BMA09,2,11.1
ALUMNO_004,BQU01,2,15.3
ALUMNO_004,BRC01,2,13.7
ALUMNO_004,BEF01,3,18.0
ALUMNO_004,BEG01,3,14.8
ALUMNO_004,BFI03,3,10.5
ALUMNO_004,BMA05,3,10.5
ALUMNO_004,BMA10,3,11.6
ALUMNO_004,BMA15,3,10.5
ALUMNO_004,EE306,3,13.2
ALUMNO_004,BMA07,4,11.5
ALUMNO_004,BMA18,4,10.5
ALUMNO_004,EE320,4,10.5
ALUMNO_004,EE410,4,10.5
ALUMNO_004,BMA22,5,10.5
ALUMNO_004,CBS05,5,12.7
ALUMNO_004,EE428,5,10.5
ALUMNO_004,EE522,5,12.0
ALUMNO_004,TLN01,5,12.0
ALUMNO_004,TLR01,5,14.0
ALUMNO_004,EE430,6,10.5
ALUMNO_004,EE458,6,12.5
ALUMNO_004,EE604,6,12.3
ALUMNO_004,IP101,6,14.8
ALUMNO_004,TLN02,6,10.5
ALUMNO_004,BEG06,7,15.2
ALUMNO_004,EE498,7,13.9
ALUMNO_004,EE530,7,13.8
ALUMNO_004,EE588,7,10.5
ALUMNO_004,IT214,7,12.9
ALUMNO_004,TLR02,7,10.5
ALUMNO_004,CI106,8,14.3
ALUMNO_004,EE590,8,13.2
ALUMNO_004,EE592,8,17.5
ALUMNO_004,IT235,8,14.7
ALUMNO_004,TLN04,8,14.1
ALUMNO_004,TLR03,8,13.2
ALUMNO_004,BMT01,9,11.7
ALUMNO_004,CBG01,9,11.9
ALUMNO_004,CIB45,9,12.6
ALUMNO_004,TLN03,9,11.1
ALUMNO_004,TLR04,9,13.5
ALUMNO_004,TLR05,9,14.5
ALUMNO_004,CBS36,10,11.5
ALUMNO_004,CIB12,10,10.5
ALUMNO_004,CIB46,10,17.0
ALUMNO_004,EE508,10,13.5
ALUMNO_004,EE712,10,12.3
ALUMNO_004,IT225,10,10.5
ALUMNO_005,BFI01,1,14.7
ALUMNO_005,BIC01,1,12.8
ALUMNO_005,BMA01,1,10.5
ALUMNO_005,BMA03,1,10.5
ALUMNO_005,BRN01,1,16.2
ALUMNO_005,BFI05,2,10.5
ALUMNO_005,BMA02,2,12.3
ALUMNO_005,BMA09,2,12.0
ALUMNO_005,BQU01,2,11.0
ALUMNO_005,BRC01,2,18.0
ALUMNO_005,BEF01,3,15.6
ALUMNO_005,BEG01,3,10.9
ALUMNO_005,BFI03,3,12.4
ALUMNO_005,BMA05,3,10.5
ALUMNO_005,BMA10,3,13.1
ALUMNO_005,BMA15,3,10.5
ALUMNO_005,EE306,3,12.3
ALUMNO_005,BMA07,4,12.4
ALUMNO_005,BMA18,4,13.1
ALUMNO_005,EE320,4,10.5
ALUMNO_005,EE410,4,11.8
ALUMNO_005,BMA22,5,11.6
ALUMNO_005,CBS05,5,14.5
ALUMNO_005,EE428,5,13.9
ALUMNO_005,EE522,5,10.5
ALUMNO_005,TLN01,5,16.1
ALUMNO_005,TLR01,5,11.0
ALUMNO_005,CI106,6,16.0
ALUMNO_005,EE430,6,16.5
ALUMNO_005,EE458,6,14.6
ALUMNO_005,EE604,6,10.5
ALUMNO_005,TLN02,6,11.4
ALUMNO_005,BEG06,7,13.7
ALUMNO_005,EE498,7,13.9
ALUMNO_005,EE530,7,14.6
ALUMNO_005,EE588,7,11.1
ALUMNO_005,IT225,7,10.5
ALUMNO_005,TLR02,7,12.3
ALUMNO_005,CI105,8,11.1
ALUMNO_005,EE508,8,16.9
ALUMNO_005,EE524,8,12.6
ALUMNO_005,EE590,8,13.0
ALUMNO_005,EE592,8,10.9
ALUMNO_005,TLR03,8,11.3
ALUMNO_005,CIB12,9,15.5
ALUMNO_005,CIB45,9,16.9
ALUMNO_005,IT214,9,13.8
ALUMNO_005,TLN04,9,10.8
ALUMNO_005,TLR04,9,13.8
ALUMNO_005,TLR05,9,10.7
ALUMNO_005,CBG01,10,12.4
ALUMNO_005,CIB02,10,13.4
ALUMNO_005,CIB46,10,14.4
ALUMNO_005,EE712,10,13.9
ALUMNO_005,IP101,10,15.6
ALUMNO_005,IT213,10,12.6
ALUMNO_006,BFI01,1,13.8
ALUMNO_006,BIC01,1,15.9
ALUMNO_006,BMA01,1,10.5
ALUMNO_006,BMA03,1,16.0
ALUMNO_006,BRN01,1,11.5
ALUMNO_006,BFI05,2,12.2
ALUMNO_006,BMA02,2,13.1
ALUMNO_006,BMA09,2,12.5
ALUMNO_006,BQU01,2,11.7
ALUMNO_006,BRC01,2,14.6
ALUMNO_006,BEF01,3,13.6
ALUMNO_006,BEG01,3,13.4
ALUMNO_006,BFI03,3,13.7
ALUMNO_006,BMA05,3,12.1
ALUMNO_006,BMA10,3,10.5
ALUMNO_006,BMA15,3,13.2
ALUMNO_006,EE306,3,13.1
ALUMNO_006,BMA07,4,13.0
ALUMNO_006,BMA18,4,12.7
ALUMNO_006,EE320,4,10.8
ALUMNO_006,EE410,4,10.7
ALUMNO_006,BMA22,5,13.4
ALUMNO_006,CBS05,5,11.5
ALUMNO_006,EE428,5,13.2
ALUMNO_006,EE522,5,15.1
ALUMNO_006,TLN01,5,12.4
ALUMNO_006,TLR01,5,14.3
ALUMNO_006,CBS36,6,14.4
ALUMNO_006,EE430,6,13.5
ALUMNO_006,EE458,6,12.6
ALUMNO_006,EE604,6,12.5
ALUMNO_006,TLN02,6,14.7
ALUMNO_006,BEG06,7,16.5
ALUMNO_006,EE498,7,15.1
ALUMNO_006,EE530,7,12.4
ALUMNO_006,EE588,7,13.8
ALUMNO_006,TLN05,7,13.1
ALUMNO_006,TLR02,7,12.3
ALUMNO_006,CBG01,8,17.0
ALUMNO_006,CI105,8,12.4
ALUMNO_006,EE590,8,13.1
ALUMNO_006,EE592,8,14.1
ALUMNO_006,IT214,8,11.2
ALUMNO_006,TLR03,8,12.6
ALUMNO_006,CI106,9,15.2
ALUMNO_006,CIB12,9,13.2
ALUMNO_006,CIB45,9,16.3
ALUMNO_006,IT213,9,14.5
ALUMNO_006,TLR04,9,10.5
ALUMNO_006,TLR05,9,15.4
ALUMNO_006,CIB02,10,11.8
ALUMNO_006,CIB46,10,14.2
ALUMNO_006,EE712,10,11.0
ALUMNO_006,IT225,10,12.9
ALUMNO_006,IT235,10,15.2
ALUMNO_006,TLN03,10,11.2
ALUMNO_007,BFI01,1,11.3
ALUMNO_007,BIC01,1,13.5
ALUMNO_007,BMA01,1,10.8
ALUMNO_007,BMA03,1,10.5
ALUMNO_007,BRN01,1,16.0
ALUMNO_007,BFI05,2,12.4
ALUMNO_007,BMA02,2,10.9
ALUMNO_007,BMA09,2,11.0
ALUMNO_007,BQU01,2,12.9
ALUMNO_007,BRC01,2,13.0
ALUMNO_007,BEF01,3,12.6
ALUMNO_007,BEG01,3,13.8
ALUMNO_007,BFI03,3,11.0
ALUMNO_007,BMA05,3,12.0
ALUMNO_007,BMA10,3,14.4
ALUMNO_007,BMA15,3,13.1
ALUMNO_007,EE306,3,11.6
ALUMNO_007,BMA07,4,11.4
ALUMNO_007,BMA18,4,10.5
ALUMNO_007,EE320,4,11.9
ALUMNO_007,EE410,4,11.3
ALUMNO_007,BMA22,5,12.5
ALUMNO_007,CBS05,5,13.5
ALUMNO_007,EE428,5,15.6
ALUMNO_007,EE522,5,12.2
ALUMNO_007,TLN01,5,13.5
ALUMNO_007,TLR01,5,10.7
ALUMNO_007,CIB02,6,12.9
ALUMNO_007,EE430,6,13.8
ALUMNO_007,EE458,6,11.6
ALUMNO_007,EE604,6,12.9
ALUMNO_007,TLN02,6,12.4
ALUMNO_007,BEG06,7,14.2
ALUMNO_007,BMT01,7,17.0
ALUMNO_007,EE498,7,12.5
ALUMNO_007,EE530,7,13.4
ALUMNO_007,EE588,7,15.4
ALUMNO_007,TLR02,7,14.4
ALUMNO_007,CBS36,8,11.5
ALUMNO_007,CI105,8,13.0
ALUMNO_007,CIB12,8,17.0
ALUMNO_007,EE590,8,14.7
ALUMNO_007,EE592,8,13.3
ALUMNO_007,TLR03,8,11.3
ALUMNO_007,CI106,9,15.3
ALUMNO_007,CIB45,9,10.5
ALUMNO_007,EE524,9,13.2
ALUMNO_007,IT225,9,11.7
ALUMNO_007,TLR04,9,11.6
ALUMNO_007,TLR05,9,13.2
ALUMNO_007,CIB46,10,16.5
ALUMNO_007,EE712,10,16.8
ALUMNO_007,IP101,10,14.5
ALUMNO_007,IT213,10,14.2
ALUMNO_007,TLN03,10,10.5
ALUMNO_007,TLN05,10,11.7
ALUMNO_008,BFI01,1,15.6
ALUMNO_008,BIC01,1,15.7
ALUMNO_008,BMA01,1,11.6
ALUMNO_008,BMA03,1,10.5
ALUMNO_008,BRN01,1,17.4
ALUMNO_008,BFI05,2,11.7
ALUMNO_008,BMA02,2,15.0
ALUMNO_008,BMA09,2,10.5
ALUMNO_008,BQU01,2,11.1
ALUMNO_008,BRC01,2,15.0
ALUMNO_008,BEF01,3,14.6
ALUMNO_008,BEG01,3,13.7
ALUMNO_008,BFI03,3,12.6
ALUMNO_008,BMA05,3,10.5
ALUMNO_008,BMA10,3,11.7
ALUMNO_008,BMA15,3,12.2
ALUMNO_008,EE306,3,13.0
ALUMNO_008,BMA07,4,13.4
ALUMNO_008,BMA18,4,10.5
ALUMNO_008,EE320,4,10.5
ALUMNO_008,EE410,4,15.2
ALUMNO_008,BMA22,5,13.2
ALUMNO_008,CBS05,5,13.4
ALUMNO_008,EE428,5,12.6
ALUMNO_008,EE522,5,14.9
ALUMNO_008,TLN01,5,15.7
ALUMNO_008,TLR01,5,10.8
ALUMNO_008,EE430,6,16.5
ALUMNO_008,EE458,6,16.1
ALUMNO_008,EE604,6,11.9
ALUMNO_008,TLN02,6,14.4
ALUMNO_008,TLN05,6,13.8
ALUMNO_008,BEG06,7,17.5
ALUMNO_008,CI105,7,11.1
ALUMNO_008,EE498,7,10.5
ALUMNO_008,EE530,7,13.8
ALUMNO_008,EE588,7,14.6
ALUMNO_008,TLR02,7,10.5
ALUMNO_008,CI106,8,14.1
ALUMNO_008,CIB12,8,16.8
ALUMNO_008,EE590,8,12.3
ALUMNO_008,EE592,8,14.4
ALUMNO_008,TLN03,8,16.3
ALUMNO_008,TLR03,8,10.5
ALUMNO_008,CIB45,9,10.6
ALUMNO_008,EE508,9,10.5
ALUMNO_008,IP101,9,15.4
ALUMNO_008,IT235,9,14.0
ALUMNO_008,TLR04,9,10.5
ALUMNO_008,TLR05,9,13.6
ALUMNO_008,CBG01,10,11.3
ALUMNO_008,CIB02,10,12.8
ALUMNO_008,CIB46,10,11.4
ALUMNO_008,EE712,10,12.7
ALUMNO_008,IT213,10,14.5
ALUMNO_008,IT225,10,13.9
ALUMNO_009,BFI01,1,10.5
ALUMNO_009,BIC01,1,12.6
ALUMNO_009,BMA01,1,13.8
ALUMNO_009,BMA03,1,10.5
ALUMNO_009,BRN01,1,15.9
ALUMNO_009,BFI05,2,11.4
ALUMNO_009,BMA02,2,10.5
ALUMNO_009,BMA09,2,11.7
ALUMNO_009,BQU01,2,10.8
ALUMNO_009,BRC01,2,14.0
ALUMNO_009,BEF01,3,12.3
ALUMNO_009,BEG01,3,18.0
ALUMNO_009,BFI03,3,12.1
ALUMNO_009,BMA05,3,10.5
ALUMNO_009,BMA10,3,11.8
ALUMNO_009,BMA15,3,11.2
ALUMNO_009,EE306,3,12.0
ALUMNO_009,BMA07,4,12.6
ALUMNO_009,BMA18,4,12.9
ALUMNO_009,EE320,4,11.4
ALUMNO_009,EE410,4,10.7
ALUMNO_009,BMA22,5,11.3
ALUMNO_009,CBS05,5,12.2
ALUMNO_009,EE428,5,15.9
ALUMNO_009,EE522,5,15.9
ALUMNO_009,TLN01,5,10.5
ALUMNO_009,TLR01,5,10.5
ALUMNO_009,CI105,6,13.2
ALUMNO_009,EE430,6,13.6
ALUMNO_009,EE458,6,13.7
ALUMNO_009,EE604,6,16.5
ALUMNO_009,TLN02,6,14.8
ALUMNO_009,BEG06,7,13.3
ALUMNO_009,EE498,7,10.5
ALUMNO_009,EE530,7,12.8
ALUMNO_009,EE588,7,10.8
ALUMNO_009,IP101,7,13.8
ALUMNO_009,TLR02,7,10.5
ALUMNO_009,BMA20,8,12.6
ALUMNO_009,CI106,8,14.0
ALUMNO_009,EE590,8,16.4
ALUMNO_009,EE592,8,14.8
ALUMNO_009,IT214,8,16.2
ALUMNO_009,TLR03,8,10.6
ALUMNO_009,CIB02,9,11.1
ALUMNO_009,CIB45,9,17.0
ALUMNO_009,IT235,9,11.4
ALUMNO_009,TLN03,9,12.5
ALUMNO_009,TLR04,9,11.1
ALUMNO_009,TLR05,9,14.8
ALUMNO_009,CBS36,10,10.5
ALUMNO_009,CIB12,10,14.3
ALUMNO_009,CIB46,10,15.9
ALUMNO_009,EE524,10,11.5
ALUMNO_009,EE712,10,10.5
ALUMNO_009,TLN04,10,16.9
ALUMNO_010,BFI01,1,10.1
ALUMNO_010,BIC01,1,11.3
ALUMNO_010,BMA01,1,10.0
ALUMNO_010,BMA03,1,11.8
ALUMNO_010,BRN01,1,12.7
ALUMNO_010,BFI01,2,13.6
ALUMNO_010,BFI05,2,10.6
ALUMNO_010,BMA01,2,13.6
ALUMNO_010,BMA02,2,10.5
ALUMNO_010,BMA09,2,10.5
ALUMNO_010,BQU01,2,13.2
ALUMNO_010,BRC01,2,15.1
ALUMNO_010,BEF01,3,11.9
ALUMNO_010,BEG01,3,13.9
ALUMNO_010,BFI03,3,12.1
ALUMNO_010,BMA05,3,10.5
ALUMNO_010,BMA10,3,12.3
ALUMNO_010,BMA15,3,10.5
ALUMNO_010,EE306,3,12.3
ALUMNO_010,BMA07,4,10.5
ALUMNO_010,BMA18,4,10.5
ALUMNO_010,EE320,4,10.5
ALUMNO_010,EE410,4,11.8
ALUMNO_010,BMA22,5,12.2
ALUMNO_010,CBS05,5,10.5
ALUMNO_010,EE428,5,10.5
ALUMNO_010,EE522,5,11.5
ALUMNO_010,TLN01,5,12.9
ALUMNO_010,TLR01,5,10.5
ALUMNO_010,CBS36,6,14.5
ALUMNO_010,EE430,6,10.5
ALUMNO_010,EE458,6,11.7
ALUMNO_010,EE604,6,10.5
ALUMNO_010,TLN02,6,10.8
ALUMNO_010,BEG06,7,13.2
ALUMNO_010,CIB02,7,10.5
ALUMNO_010,EE498,7,13.4
ALUMNO_010,EE530,7,10.5
ALUMNO_010,EE588,7,12.7
ALUMNO_010,TLR02,7,14.6
ALUMNO_010,BMA20,8,11.0
ALUMNO_010,CIB12,8,13.2
ALUMNO_010,EE590,8,13.3
ALUMNO_010,EE592,8,11.7
ALUMNO_010,IT225,8,13.1
ALUMNO_010,TLR03,8,10.5
ALUMNO_010,CBG01,9,11.6
ALUMNO_010,CIB45,9,15.5
ALUMNO_010,IT214,9,13.1
ALUMNO_010,TLN04,9,11.1
ALUMNO_010,TLR04,9,11.8
ALUMNO_010,TLR05,9,13.4
ALUMNO_010,CI105,10,13.8
ALUMNO_010,CIB46,10,14.0
ALUMNO_010,EE508,10,11.2
ALUMNO_010,EE524,10,16.5
ALUMNO_010,EE712,10,11.2
ALUMNO_010,TLN05,10,13.9
ALUMNO_011,BFI01,1,10.4
ALUMNO_011,BIC01,1,14.3
ALUMNO_011,BMA01,1,10.3
ALUMNO_011,BMA03,1,10.5
ALUMNO_011,BRN01,1,12.4
ALUMNO_011,BFI01,2,10.6
ALUMNO_011,BFI05,2,11.1
ALUMNO_011,BMA01,2,12.4
ALUMNO_011,BMA02,2,14.5
ALUMNO_011,BMA09,2,11.8
ALUMNO_011,BQU01,2,11.1
ALUMNO_011,BRC01,2,15.7
ALUMNO_011,BEF01,3,10.5
ALUMNO_011,BEG01,3,14.1
ALUMNO_011,BFI03,3,12.1
ALUMNO_011,BMA05,3,10.5
ALUMNO_011,BMA10,3,12.9
ALUMNO_011,BMA15,3,11.3
ALUMNO_011,EE306,3,10.5
ALUMNO_011,BMA07,4,11.9
ALUMNO_011,BMA18,4,15.1
ALUMNO_011,EE320,4,11.5
ALUMNO_011,EE410,4,11.6
ALUMNO_011,BMA22,5,10.5
ALUMNO_011,CBS05,5,10.9
ALUMNO_011,EE428,5,10.5
ALUMNO_011,EE522,5,11.8
ALUMNO_011,TLN01,5,13.9
ALUMNO_011,TLR01,5,10.5
ALUMNO_011,CBG01,6,12.0
ALUMNO_011,EE430,6,12.6
ALUMNO_011,EE458,6,12.3
ALUMNO_011,EE604,6,13.8
ALUMNO_011,TLN02,6,11.1
ALUMNO_011,BEG06,7,12.4
ALUMNO_011,CIB12,7,13.6
ALUMNO_011,EE498,7,10.7
ALUMNO_011,EE530,7,12.4
ALUMNO_011,EE588,7,13.2
ALUMNO_011,TLR02,7,10.5
ALUMNO_011,CBS36,8,10.9
ALUMNO_011,CI106,8,10.7
ALUMNO_011,EE590,8,13.0
ALUMNO_011,EE592,8,16.0
ALUMNO_011,TLN04,8,10.5
ALUMNO_011,TLR03,8,14.9
ALUMNO_011,CI105,9,17.0
ALUMNO_011,CIB45,9,14.5
ALUMNO_011,IP101,9,15.2
ALUMNO_011,TLN03,9,10.5
ALUMNO_011,TLR04,9,15.2
ALUMNO_011,TLR05,9,12.8
ALUMNO_011,BMA20,10,12.0
ALUMNO_011,CIB02,10,13.4
ALUMNO_011,CIB46,10,13.4
ALUMNO_011,EE712,10,13.0
ALUMNO_011,IT214,10,10.8
ALUMNO_011,TLN05,10,14.2
ALUMNO_012,BFI01,1,12.6
ALUMNO_012,BIC01,1,15.7
ALUMNO_012,BMA01,1,13.8
ALUMNO_012,BMA03,1,14.3
ALUMNO_012,BRN01,1,13.3
ALUMNO_012,BFI05,2,9.7
ALUMNO_012,BMA02,2,10.8
ALUMNO_012,BMA09,2,11.2
ALUMNO_012,BQU01,2,14.5
ALUMNO_012,BRC01,2,11.2
ALUMNO_012,BEF01,3,13.4
ALUMNO_012,BEG01,3,12.9
ALUMNO_012,BFI03,3,10.5
ALUMNO_012,BFI05,3,16.0
ALUMNO_012,BMA05,3,10.5
ALUMNO_012,BMA10,3,12.2
ALUMNO_012,BMA15,3,10.7
ALUMNO_012,BMA07,4,10.5
ALUMNO_012,BMA18,4,10.5
ALUMNO_012,EE320,4,11.0
ALUMNO_012,EE410,4,14.6
ALUMNO_012,BMA22,5,10.6
ALUMNO_012,CBS05,5,11.8
ALUMNO_012,EE428,5,11.6
ALUMNO_012,EE522,5,10.5
ALUMNO_012,TLN01,5,11.1
ALUMNO_012,TLR01,5,10.5
ALUMNO_012,CIB12,6,11.4
ALUMNO_012,EE430,6,11.1
ALUMNO_012,EE458,6,13.7
ALUMNO_012,EE604,6,16.1
ALUMNO_012,TLN02,6,14.0
ALUMNO_012,BEG06,7,12.2
ALUMNO_012,EE498,7,17.0
ALUMNO_012,EE524,7,12.0
ALUMNO_012,EE530,7,11.7
ALUMNO_012,EE588,7,11.6
ALUMNO_012,TLR02,7,12.1
ALUMNO_012,BMA20,8,10.5
ALUMNO_012,CIB02,8,11.0
ALUMNO_012,EE590,8,10.9
ALUMNO_012,EE592,8,11.0
ALUMNO_012,TLN05,8,12.0
ALUMNO_012,TLR03,8,11.8
ALUMNO_012,CI105,9,15.4
ALUMNO_012,CI106,9,15.7
ALUMNO_012,CIB45,9,12.7
ALUMNO_012,IT214,9,10.5
ALUMNO_012,TLR04,9,12.3
ALUMNO_012,TLR05,9,16.1
ALUMNO_012,CIB46,10,12.5
ALUMNO_012,EE508,10,10.5
ALUMNO_012,EE712,10,10.5
ALUMNO_012,IT225,10,11.7
ALUMNO_012,TLN03,10,10.5
ALUMNO_012,TLN04,10,10.5
ALUMNO_013,BFI01,1,13.7
ALUMNO_013,BIC01,1,13.5
ALUMNO_013,BMA01,1,13.3
ALUMNO_013,BMA03,1,12.2
ALUMNO_013,BRN01,1,11.3
ALUMNO_013,BFI05,2,9.2
ALUMNO_013,BMA02,2,11.8
ALUMNO_013,BMA09,2,8.4
ALUMNO_013,BQU01,2,12.2
ALUMNO_013,BRC01,2,12.9
ALUMNO_013,BEF01,3,13.6
ALUMNO_013,BEG01,3,12.2
ALUMNO_013,BFI03,3,12.0
ALUMNO_013,BFI05,3,11.0
ALUMNO_013,BMA05,3,8.1
ALUMNO_013,BMA09,3,13.7
ALUMNO_013,BMA10,3,11.5
ALUMNO_013,BMA05,4,13.5
ALUMNO_013,BMA07,4,10.5
ALUMNO_013,BMA18,4,11.0
ALUMNO_013,EE320,4,10.5
ALUMNO_013,EE410,4,12.7
ALUMNO_013,BMA22,5,10.5
ALUMNO_013,EE428,5,10.5
ALUMNO_013,EE522,5,10.5
ALUMNO_013,TLN01,5,12.9
ALUMNO_013,TLR01,5,10.5
ALUMNO_013,BMA20,6,10.5
ALUMNO_013,EE430,6,10.5
ALUMNO_013,EE458,6,12.0
ALUMNO_013,EE604,6,10.5
ALUMNO_013,TLN02,6,14.4
ALUMNO_013,BEG06,7,16.4
ALUMNO_013,EE498,7,11.1
